Gene ID	Gene Name	Design Element	g1_g2.p-value	g1_g2.t-statistic	g1_g2.log2foldchange
MIMAT0000062	MIMAT0000062	A_25_P00010086	0.70250559386657	0.625362183554288	0.0784915951074403
MIMAT0000062	MIMAT0000062	A_25_P00011584	0.975513746316429	0.0651101242194695	0.00741007045087905
MIMAT0000063	MIMAT0000063	A_25_P00010070	0.139013519150447	2.43163612513429	0.556111895299825
MIMAT0000063	MIMAT0000063	A_25_P00010071	0.0497282355402996	3.25449181729957	0.811621134771325
MIMAT0000064	MIMAT0000064	A_25_P00010072	0.098282650062664	2.69781280670979	0.757065824690136
MIMAT0000064	MIMAT0000064	A_25_P00010073	0.324778784391911	1.6485897929498	0.440504336234509
MIMAT0000065	MIMAT0000065	A_25_P00010281	0.103149521552763	2.66619309645875	0.382716406596201
MIMAT0000065	MIMAT0000065	A_25_P00010282	0.217890974906888	2.04707816939775	0.287800723552511
MIMAT0000066	MIMAT0000066	A_25_P00010279	0.418035430330721	1.35920391036664	0.273173539884437
MIMAT0000066	MIMAT0000066	A_25_P00010280	0.424109931973133	1.33601337026944	0.328118623046588
MIMAT0000067	MIMAT0000067	A_25_P00010088	0.0940665912230352	-2.73372943503245	-0.329968751233901
MIMAT0000067	MIMAT0000067	A_25_P00010089	0.63961263853213	-0.753682322773616	-0.141193939377123
MIMAT0000068	MIMAT0000068	A_25_P00010467	0.106931997738832	2.62853696326014	0.548369178581517
MIMAT0000068	MIMAT0000068	A_25_P00010468	0.238087370745576	1.96068792279963	0.369925704155106
MIMAT0000069	MIMAT0000069	A_25_P00010598	0.0577027590656507	3.13114903178612	0.478488560498663
MIMAT0000069	MIMAT0000069	A_25_P00010599	0.0240803430066057	3.88463855117888	0.613767822620273
MIMAT0000070	MIMAT0000070	A_25_P00010277	0.369759774296622	1.50503079285259	0.195457709951361
MIMAT0000070	MIMAT0000070	A_25_P00010278	0.485621576634059	1.16475703236297	0.184760432539719
MIMAT0000071	MIMAT0000071	A_25_P00010141	0.867713099501689	-0.301696690328547	-0.0591711971437157
MIMAT0000071	MIMAT0000071	A_25_P00010142	0.915068479087963	0.194271623085745	0.0370887675759803
MIMAT0000072	MIMAT0000072	A_25_P00010969	0.281244335074817	1.81163099631275	0.513054990983647
MIMAT0000072	MIMAT0000072	A_25_P00010970	0.367339250946283	1.51651597316568	0.432175243837921
MIMAT0000073	MIMAT0000073	A_25_P00010997	0.512300493552662	1.07960351979488	0.390883829872919
MIMAT0000073	MIMAT0000073	A_25_P00010998	0.536728515161095	0.990262825722006	0.338486820508491
MIMAT0000074	MIMAT0000074	A_25_P00010999	0.252360177331146	1.91147506126301	0.801124709229025
MIMAT0000074	MIMAT0000074	A_25_P00011000	0.328984584339036	1.63186691875925	0.679790675678049
MIMAT0000075	MIMAT0000075	A_25_P00010612	0.509877841580877	1.09613892002421	0.217450232056661
MIMAT0000075	MIMAT0000075	A_25_P00010613	0.419687927333279	1.35199890552506	0.236798775215011
MIMAT0000076	MIMAT0000076	A_25_P00010975	0.38404461735959	-1.44045250578403	-0.516744309170154
MIMAT0000076	MIMAT0000076	A_25_P00010976	0.522062870579613	-1.05447842209898	-0.404822041600626
MIMAT0000077	MIMAT0000077	A_25_P00010204	0.818335328633866	0.39494561679179	0.109500886251352
MIMAT0000077	MIMAT0000077	A_25_P00010205	0.465489298162104	-1.23496821183385	-0.195387723619485
MIMAT0000078	MIMAT0000078	A_25_P00010843	0.0255532652184373	-3.81484606839833	-0.656695259886176
MIMAT0000078	MIMAT0000078	A_25_P00010844	0.0169471321254705	-4.21980239962448	-0.700946001741087
MIMAT0000079	MIMAT0000079	A_25_P00010295	0.718276941344944	0.592198231796391	0.0294652564713545
MIMAT0000079	MIMAT0000079	A_25_P00010296	NA	2.75526414080163	0.0365358194161169
MIMAT0000080	MIMAT0000080	A_25_P00010676	0.546385007103315	-0.961356596826299	-0.238542995452574
