node_id	BEL	aminoacid_Code_1	aminoacid_Code_2	function	list	modification	namespace	node_id	p_modType	position	undefined_namespace	valid_NSV	value
1	"a(CHEBI:""gamma-secretase inhibitor"")"			a			CHEBI	1					gamma-secretase inhibitor
2	"complex(SCOMP:""gamma Secretase Complex"")"			complex			SCOMP	2					"""gamma Secretase Complex"""
3	"p(HGNC:""BACE1"")"			p			HGNC	3				True	BACE1
4	"reaction(reactants(p(HGNC:APP)),products(a(ADO:""Abeta_42"")))"			reaction				4					
5	"p(HGNC:""APP"")"			p			HGNC	5				True	APP
6	"a(ADO:""Abeta_42"")"			a			ADO	6				True	Abeta_42
7	"path(MESHD:""Alzheimer Disease"")"			path			MESHD	7				True	Alzheimer Disease
8	"p(HGNC:""CLSTN1"")"			p			HGNC	8				True	CLSTN1
9	complex(p(HGNC:CLSTN1),p(HGNC:KLC1))			complex	True			9					
10	"p(HGNC:""KLC1"")"			p			HGNC	10				True	KLC1
11	"bp(MESHPP:""Axonal Transport"")"			bp			MESHPP	11				True	Axonal Transport
12	list(p(HGNC:PSEN1),p(HGNC:NCSTN),p(HGNC:APH1A),p(HGNC:PSEN2))			list	True			12					
13	"p(HGNC:""PSEN1"")"			p			HGNC	13				True	PSEN1
14	"p(HGNC:""NCSTN"")"			p			HGNC	14				True	NCSTN
15	"p(HGNC:""APH1A"")"			p			HGNC	15				True	APH1A
16	"p(HGNC:""PSEN2"")"			p			HGNC	16				True	PSEN2
17	"list(a(ADO:""Abeta_42""),a(ADO:""Abeta_40""))"			list	True			17					
18	"a(ADO:""Abeta_40"")"			a			ADO	18				True	Abeta_40
19	"a(CHEBI:""phenanthroline"")"			a			CHEBI	19				True	phenanthroline
20	"a(CHEBI:""ethylenediaminetetraacetic acid"")"			a			CHEBI	20				True	ethylenediaminetetraacetic acid
21	"a(CHEBI:""ethylene glycol bis(2-aminoethyl)tetraacetic acid "")"			a			CHEBI	21					ethylene glycol bis(2-aminoethyl)tetraacetic acid 
22	"a(CHEBI:""calcium(2+)"")"			a			CHEBI	22				True	calcium(2+)
23	"a(CHEBI:""magnesium(2+)"")"			a			CHEBI	23				True	magnesium(2+)
24	"p(HGNC:""ARRB2"")"			p			HGNC	24				True	ARRB2
25	"p(HGNC:""GPR3"")"			p			HGNC	25				True	GPR3
26	complex(p(HGNC:ARRB2), p(HGNC:APH1A))			complex	True			26					
27	"p(HGNC:""PLD1"")"			p			HGNC	27				True	PLD1
28	"g(HGNC:""APP"")"			g			HGNC	28				True	APP
29	"g(HGNC:""APP"",sub(G,275341,C))"	G	C	g		sub	HGNC	29		275341		True	APP
30	"p(HGNC:""APP"",sub(V,717,L))"	V	L	p		sub	HGNC	30		717		True	APP
31	"p(HGNC:""PSEN2"",sub(N,141,I))"	N	I	p		sub	HGNC	31		141		True	PSEN2
32	"g(HGNC:""APP"",sub(G,717,C))"	G	C	g		sub	HGNC	32		717		True	APP
33	"p(HGNC:""PSEN1"",sub(E,280,A))"	E	A	p		sub	HGNC	33		280		True	PSEN1
34	"p(HGNC:""APOE"")"			p			HGNC	34				True	APOE
35	"p(HGNC:""APOE"",sub(R,132,S))"	R	S	p		sub	HGNC	35		132		True	APOE
36	"g(HGNC:""CD44"")"			g			HGNC	36				True	CD44
37	"g(dbSNP:""rs187116"")"			g			dbSNP	37				True	rs187116
